canonical_objective_id,subject,domain,level_band,learning_map_objective_id,textbook_source,textbook_objective_or_card_ref,standard_outcome_id,alignment_strength,alignment_note,evidence_needed_for_progress
"co.math.lp.two-digit-add-subtract.001","maths","operations","lower-primary","obj.math.foundation.operations.add-within-40.001","src.textbook.math.mph.1b","chapters/chapter11-addition-within-40","std.sgmoe.math.p1.add-subtract.lower.001","strong","MPH 1B addition within 40 and 100 maps directly to Singapore P1 addition/subtraction within 100 and algorithms.","Observed two-digit addition strategy with representation and support level."
"co.math.lp.two-digit-add-subtract.001","maths","operations","lower-primary","obj.math.foundation.operations.subtract-within-40.001","src.textbook.math.mph.1b","chapters/chapter12-subtraction-within-40","std.ibpyp.math.phase2.number.lower.001","strong","PYP Phase 2 number includes explaining mental drawn and written strategies for two-digit addition/subtraction.","Observed child subtracts using tens-and-ones drawing number line blocks or written layout and explains result."
"co.math.lp.two-digit-add-subtract.001","maths","operations","lower-primary","obj.math.foundation.operations.add-within-100.001","src.textbook.math.mph.1b","chapters/chapter18-addition-within-100","std.china2022.math.stage1.number-operations.lower.001","strong","China first-stage number and operations supports computation and reasoning across lower-primary ranges; 1B gives concrete assets.","Observed two-digit calculation with explanation of operation meaning."
"co.math.lp.regrouping-readiness.001","maths","place_value_operations","lower-primary","obj.math.foundation.operations.add-with-regrouping.001","src.textbook.math.mph.1b","chapters/chapter11-addition-within-40; chapters/chapter18-addition-within-100","std.sgmoe.math.p1.add-subtract.lower.001","strong","Singapore P1 includes algorithms and addition/subtraction within 100; regrouping readiness is acceptable when modeled as tens-and-ones exchange.","Observed exchange of ten ones for one ten during addition."
"co.math.lp.regrouping-readiness.001","maths","place_value_operations","lower-primary","obj.math.foundation.operations.subtract-with-regrouping.001","src.textbook.math.mph.1b","chapters/chapter12-subtraction-within-40; chapters/chapter19-subtraction-within-100","std.ibpyp.math.phase2.number.lower.001","moderate","PYP Phase 2 emphasizes strategy explanation more than algorithm labels; strong evidence needs the child to explain exchange meaning.","Observed child trades one ten for ten ones and explains why."
"co.math.lp.word-problems-representation.001","maths","problem_solving","lower-primary","obj.math.foundation.problem-solving.mixed-add-subtract-stories.001","src.textbook.math.mph.1a.pilot","exercise-items.jsonl","std.china2022.math.stage1.quantity-problem.lower.001","strong","China first-stage quantity relationship and problem solving aligns with representing familiar situations; 1A gives story-problem foundation.","Observed child represents story quantities and explains answer meaning."
"co.math.lp.word-problems-representation.001","maths","problem_solving","lower-primary","obj.math.foundation.operations.multiplication-stories.001","src.textbook.math.mph.1b","chapters/chapter14-multiplication; exercise-items.jsonl","std.sgmoe.math.primary.problem-solving.lower.001","strong","Singapore framework emphasizes problem solving reasoning communication and strategies across content domains.","Observed model operation choice solution and contextual answer."
"co.math.lp.multiplication-equal-groups.001","maths","multiplication","lower-primary","obj.math.foundation.operations.multiplication-equal-groups.001","src.textbook.math.mph.1b","chapters/chapter14-multiplication","std.sgmoe.math.p1.multiplication-division.lower.001","strong","Singapore P1 includes multiplication concepts and multiplying within 40; MPH 1B equal groups are a direct match.","Observed equal-group model repeated addition or multiplication expression."
"co.math.lp.multiplication-equal-groups.001","maths","multiplication","lower-primary","obj.math.foundation.operations.multiplication-stories.001","src.textbook.math.mph.1b","chapters/chapter14-multiplication","std.ibpyp.math.phase2.pattern-function.lower.001","moderate","PYP Phase 2 pattern/function supports patterns and inverse relationships but multiplication as repeated addition appears more strongly in later Phase 3; keep alignment moderate.","Observed child connects equal groups to repeated addition without requiring fact fluency."
"co.math.lp.division-sharing-grouping.001","maths","division","lower-primary","obj.math.foundation.operations.division-sharing.001","src.textbook.math.mph.1b","chapters/chapter15-division","std.sgmoe.math.p1.multiplication-division.lower.001","strong","Singapore P1 introduces division concepts and dividing within 20; MPH 1B sharing and grouping tasks align directly.","Observed fair sharing or equal grouping with explanation."
"co.math.lp.division-sharing-grouping.001","maths","division","lower-primary","obj.math.foundation.operations.division-equal-groups.001","src.textbook.math.mph.1b","chapters/chapter15-division","std.china2022.math.stage1.quantity-problem.lower.001","moderate","China quantity relationship supports simple life-situation problems; division-specific symbolism is broader than the extracted standard summary.","Observed grouping or sharing model and explanation of fairness or group count."
"co.math.lp.data-picture-graphs.001","maths","data","lower-primary","obj.math.foundation.data.picture-graphs.001","src.textbook.math.mph.1b","chapters/chapter13-picture-graphs","std.sgmoe.math.p1.picture-graphs.lower.001","strong","Singapore P1 picture graphs directly align with MPH 1B picture graph chapter.","Observed graph reading comparison or simple question answered with graph evidence."
"co.math.lp.data-picture-graphs.001","maths","data","lower-primary","obj.math.foundation.data.picture-graphs.001","src.textbook.math.mph.1b","chapters/chapter13-picture-graphs","std.ibpyp.math.phase2.data.lower.001","strong","PYP Phase 2 data handling supports pictographs and comparing quantities; alignment is strong for interpretation evidence.","Observed child uses category and quantity information from the display."
"co.math.lp.length-measurement.001","maths","measurement","foundation-to-lower-primary","obj.math.foundation.measurement.nonstandard-length.001","src.textbook.math.mph.1a.pilot","units/chapter9-length","std.china2022.math.stage1.geometry-measure-data.lower.001","strong","China first-stage measurement supports hands-on measurement awareness; 1A length assets remain the primary processed layer.","Observed fair comparison or unit measurement with start point and units recorded."
"co.math.lp.length-measurement.001","maths","measurement","foundation-to-lower-primary","obj.math.foundation.measurement.compare-lengths.001","src.textbook.math.mph.1a.pilot","units/chapter9-length","std.sgmoe.math.p1.length.lower.001","moderate","Singapore P1 uses centimetres while MPH 1A mainly uses non-standard units; alignment is moderate until standard-unit evidence is present.","Observed length comparison or measurement; note whether units were non-standard or cm."
"co.math.lp.time-routines.001","maths","time","lower-primary","obj.math.foundation.time.hour-half-hour.001","src.textbook.math.mph.1b","chapters/chapter16-time","std.sgmoe.math.p1.time.lower.001","strong","Singapore P1 includes time to 5 minutes and duration; MPH 1B focuses on hour and half hour so alignment is strong for the covered subset.","Observed child reads matches or draws hour/half-hour time in a routine."
"co.math.lp.time-routines.001","maths","time","lower-primary","obj.math.foundation.time.hour-half-hour.001","src.textbook.math.mph.1b","chapters/chapter16-time","std.ibpyp.math.phase2.measurement.lower.001","strong","PYP Phase 2 includes reading time to hour half hour and quarter hour and sequencing time in authentic situations.","Observed clock and routine connection with prompt level recorded."
"co.math.lp.money-values.001","maths","money","lower-primary","obj.math.foundation.money.count-amounts.001","src.textbook.math.mph.1b","chapters/chapter20-money","std.sgmoe.math.p1.money.lower.001","strong","Singapore P1 money counting maps directly to MPH 1B money values and amount counting.","Observed denomination recognition amount counting or value comparison."
"co.math.lp.money-values.001","maths","money","lower-primary","obj.math.foundation.money.add-subtract-amounts.001","src.textbook.math.mph.1b","chapters/chapter20-money","std.ibpyp.math.phase2.measurement.lower.001","moderate","PYP Phase 2 treats money within standard measurement contexts; useful for authentic situations but less specific than Singapore money outcomes.","Observed money problem with denominations amount and strategy recorded."
"co.math.lp.shape-space-patterns.001","maths","geometry_patterns","foundation-to-lower-primary","obj.math.foundation.geometry.name-2d-shapes.001","src.textbook.math.mph.1a.pilot","units/chapter5-shapes-and-patterns","std.sgmoe.math.p1.shapes.lower.001","strong","Singapore P1 2D shape content aligns with 1A naming sorting and composing shape work; 1B does not deepen this much but lower-primary continuity matters.","Observed shape identification sorting composition or grid-copy evidence."
"co.math.lp.shape-space-patterns.001","maths","geometry_patterns","foundation-to-lower-primary","obj.math.foundation.position.spatial-language.001","src.textbook.math.mph.1a.pilot","units/chapter6-ordinal-numbers-and-position","std.ibpyp.math.phase2.shape-space.lower.001","moderate","PYP Phase 2 shape-space is broader than 1A position language; alignment supports spatial vocabulary and directions.","Observed position description with reference point or simple direction."
"co.math.lp.math-explanation-habits.001","maths","mathematical_reasoning","lower-primary","obj.math.foundation.problem-solving.explain-strategy.001","src.textbook.math.mph.1a.pilot","progress-observation-points.jsonl","std.sgmoe.math.primary.problem-solving.lower.001","strong","Singapore framework explicitly values reasoning communication metacognition and strategies; this objective applies across 1A and 1B.","Observed child explanation using objects drawing equation graph clock money or words."
"co.math.lp.math-explanation-habits.001","maths","mathematical_reasoning","lower-primary","obj.math.foundation.reasoning.choose-strategy-within-20.001","src.textbook.math.mph.1a.pilot; src.textbook.math.mph.1b","progress-observation-points.jsonl","std.china2022.math.stage1.communication-attitude.lower.001","strong","China first-stage communication and attitude supports sharing ideas responding and persevering with support.","Observation of strategy explanation error check question response or representation choice."
